[kim2000@mox2 current]$ ./iozone -a
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Oct 25 14:21:04 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096      32  1370901  2151300  2767462  2815077  2568066  2098482  2505155   2670249   2555081  1869448  1828461  2658267  2778652
            4096      64  1627373  3185110  3864287  3810292  3546770  3042943  3497668   3683658   3592757  2522072  2506983  3740604  3882626
            4096     128  1390879  3486312  4284464  4452120  3927001  3795980  4055868   4312426   4222337  2864359  2824797  4267436  4521249
            4096     256  1672526  4141917  4442909  4602401  4470657  4141917  4231697   4348447   4906002  2950952  2799480  4423462  4649735
            4096     512  1640896  4596244  4964124  4988629  4904602  4643451  4521249   4779081   4935601  3228203  3338615  4796426  4952675
            4096    1024  1678737  4659824  5238075  5271829  5159420  4922872  4576653   5044289   5081590  3489144  3530734  5217395  5304384
            4096    2048  1641680  5125556  5211065  5382492  5319164  5145513  5001700   5170290   5145513  1843372  4196552  4994430  5438722
            4096    4096  1597561  5190597  5418140  5454263  5404504  5284803  5083093   5367357   5204750  5231694  5236478  5319164  5375755
            8192       4   389483   423620   568692   569881   499213   383176   503566    555615    536411   653117   801714   564571   572025
            8192       8   875500  1219606  1038912  1044883   907288   712712   931213    913754    915727   750461   747799  1036717  1040138
            8192      16   918788  1120202  1762869  1767039  1573262  1256030  1592512   1366039   1575353  1239135  1235437  1748159  1769314
            8192      32  1178850  2223095  2796019  2826843  2540122  2103725  2522777   1971094   2515942  1859715  1855497  2764969  2815032
            8192      64  1433399  2127168  3860729  3932757  3583691  3108970  3600968   3769662   3566209  2505302  2506764  3853368  3901055
            8192     128  1579046  3925120  3294063  4554091  4207758  2475698  3168897   4399563   4220680  2052086  2004908  3239099  4481623
            8192     256  1658304  4061528  3376611  4630813  4461836  2762746  3263713   4244664   4313945  2097817  2153566  3327560  4581417
            8192     512  1576004  2818958  3700243  5025700  4946832  2745307  3529576   4818493   4788276  1920739  2364125  3652258  4992112
            8192    1024  1726029  2922788  3699844  5227560  5251529  3036437  3660429   5123115   4763052  2114600  2398953  3766356  5375591
            8192    2048  1794916  5059743  3750733  5315713  5315713  3097200  3675307   5316535   4359927  2030140  2670209  3750733  5305043
            8192    4096  1716287  5198297  3856828  5490700  5432536  3141086  3711835   5368872   3835303  2743554  4093951  3833591  5454094
            8192    8192  1785496  4505719  5479317  5490700  5461029  3138791  3795898   3158120   3777121  3289963  3050997  3829746  5482815
           16384       4   391999   385822   527702   559523   493136   488783   915310    648867    868769   707457   704448  1009306  1096147
           16384       8   933297   620134   969644  1044102   906998   629617   870938    889954    916030   662198   665558   931867  1040119
           16384      16   853554  1022477  1574769  1758709  1540422  1031873  1516724   1387885   1567870  1122577  1031161  1540594  1757540
           16384      32  1200029  1300327  2364190  2768958  2476394  1535534  2207159   1899177   2515187  1423447  1435279  2352294  2766617
           16384      64  1392723  1532486  3066491  3936769  3547762  2079458  2619401   3854191   3548678  1572031  1792753  3041383  3935641
           16384     128  1600628  2051829  3303851  4493875  4168908  2474522  3689278   3092573   4116712  2324996  1707536  3297985  4454549
           16384     256  1677156  1921911  3413478  4518400  4432712  2587933  3717820   4452241   4423296  2431273  2044625  3385061  4560077
           16384     512  1903544  2369407  3200600  4943560  4957469  2556451  4154040   4903698   4896710  2618103  2191533  3596785  5035203
           16384    1024  1863740  2468566  3913898  5266342  5231064  2922019  3702596   4796231   5248243  2125247  2143945  3765490  5264728
           16384    2048  1813379  2507112  4117698  5370049  5383933  3032391  3751717   5335029   5356236  2007357  2099920  3812071  5396617
           16384    4096  1891024  2167751  4590845  5432453  5450550  3010209  3892615   3883376   5405531  2592424  2282144  3940380  5423449
           16384    8192  1751001  3032927  5278477  5441486  5439333  3002974  3920374    190371   4412503  2734254  2577353  3813764  5061534
           16384   16384  1748195  2131378  4019433  4556146  4470488  2283205  3056670   2033794   3429148  2383460  2179577  3338197  3945131
           32768      64  1406761  1915023  2930917  3295202  3198426  1933450  2902691   3841458   3227720  1754820  1828988  2985479  3305902
           32768     128  1663531  2074462  3273852  3670245  3781217  2178707  3271592   3070725   3748320  1930273  1947256  3538246  3892153
           32768     256  1897835  2122025  3225448  3737211  4045438  2391664  3741993   2220632   4033447  2619091  2062693  3417195  3831178
           32768     512  1899382  2378461  3198128  3608760  4491204  2960081  4148373   4946016   4473515  2754077  2135146  3686785  4542864
           32768    1024  1865000  2279184  3906090  4567018  4888490  2976750  4160932   5253821   4583008  2352004  2023219  3578505  4189725
           32768    2048  1906205  2373983  3875143  4250101  4615172  2833862  4113484   5402728   5437569  2286502  2005389  3072236  3447107
           32768    4096  1847749  2832110  4318339  4549180  4748311  3507276  4374277   5409107   5383259  2472688  2190094  3856873  4300772
           32768    8192  2047361  2748789  4137383  4204336  4030490  2869600  4069997    137482   5385157  2813212  2268463  3649002  4051520
           32768   16384  1748547  2154796  3313554  3456904  3214434  2209281  3189371    525095   3981452  2948080  2763102  2790649  3126468
           65536      64  1565597  1700558  2776942  2840122  2570638  1626844  2687009   3587884   2692194  1635586  1541912  2773888  2905108
           65536     128  1750794  1941985  2888592  3150000  3098793  1942094  3045205   4581618   3009135  1800037  1669794  3080112  3097292
           65536     256  1838367  2064767  3045205  3148954  3033811  2080835  3110822   3951279   3209548  1863682  1761430  3094537  3151987
           65536     512  1951525  2197637  3310752  3326860  3490787  2251089  3362881   5000889   3517005  2031560  1858641  3253231  3359429
           65536    1024  2013893  2215188  3373612  3179661  3412987  2308253  3418334   5290304   3663485  1959748  1836414  3454550  3481723
           65536    2048  2012404  2298141  3439120  3521375  3683860  2361153  3437142   5431961   3756917  1851605  1818988  3489856  3524762
           65536    4096  1983892  2313790  3676814  3665341  3638655  2369947  3645991   5538899   5521210  2074568  1841360  3184154  3514577
           65536    8192  2049862  2298794  3640872  3601894  3624980  2351900  3465132    158581   5543591  1986961  2063341  3575331  3375352
           65536   16384  1903852  2173586  3000987  3020510  2818630  2157786  3111280    313509   4470954  2115018  2209650  2988394  3106849
          131072      64  1496407  1605666  2570744  2528056  2388520  2042799  2368230   3965038   2691572  2017017  1819535  3145167  3385220
          131072     128  2066597  1768614  2590709  2540639  2442275  2178071  3252169   8347491   3513539  2075240  1518600  2569639  2556756
          131072     256  1735434  1991314  2662877  2590160  2573777  2274878  3111734   7555866   3486223  2167483  1622020  2634774  2601251
          131072     512  1894952  2434833  2791732  2850561  2793406  2092667  3301642   7451102   3367305  2150660  2133500  3718767  4073961
          131072    1024  2103846  2132499  2883937  2886042  2893987  2306189  2802120   5201056   2866330  1756970  1952155  2863955  2914006
          131072    2048  1996528  2234173  2936074  2902452  2879949  2376050  3544415   9857412   4193094  2316860  1939708  3388099  3694898
          131072    4096  2314246  2191398  3683757  3857994  3747284  2531467  2957126   5210175   2895984  1755209  1632200  3010664  2915103
          131072    8192  2096513  2172623  3169593  2992441  2951474  2376728  3866433    139846   7263178  2299148  2143165  3701964  3915171
          131072   16384  2054679  2233601  3044291  3047126  3484278  2794471  3664408    302096   4468404  1923482  1920780  3438406  3517676
          262144      64  2013363  2158203  3428294  3717092  3074569  2127328  3397940   6296531   3418052  2119672  1858687  3329827  3311823
          262144     128  2215253  2323724  3646057  3909724  3260374  2358238  3672091   7864394   3409329  2258499  2058760  3560527  3924727
          262144     256  2252987  2420782  3518946  3933742  3581741  2537694  2593042   7721462   3751603  2383652  2157069  3584579  3994624
          262144     512  2337775  2486357  2790668  3042630  3787386  2652283  3619579   8692698   3414888  2443387  2229343  3619078  4116713
          262144    1024  2062874  2234399  2882061  3030144  3850804  2829557  3716452   9973545   4064124  2440821  2194520  3675086  4217167
          262144    2048  2535465  2580136  2949548  3052513  3947483  2920296  3732221   8291767   4042503  2425867  2182493  3782851  4233241
          262144    4096  2033226  2312187  3427482  3443875  4467420  3316969  3775331   6510462   3779198  2485082  1917604  3802159  3884022
          262144    8192  2492100  2886184  4642172  5346914  5327147  3306018  4487165    152279   4419582  1706956  2149180  3642252  4098238
          262144   16384  2029717  2308740  3656679  4165829  4219691  2941043  3788691    643457   6554238  2350791  2350032  3237258  4049933
          524288      64  1730193  2219142  3550403  3795943  3157602  2123714  3894290   7843099   3350255  2249546  1644608  3677119  3667166
          524288     128  1897812  2423882  2751734  2734968  3359550  2300496  3554345   8802085   3537967  2399222  2244593  2966454  3854771
          524288     256  1940973  2536382  3593546  3958211  3677789  2541680  2800876   8589236   3774681  2525485  2250395  3221210  3935359
          524288     512  1513663  2564572  2865102  3933346  3929488  2685623  2846186   9445578   4124456  2809794  1874165  3889001  3953728
          524288    1024  2481505  3004377  2844706  3896401  4118616  2819178  3638111   9945704   4066836  2562803  2378045  3467835  4602972
          524288    2048  2835690  2907381  3423633  4436127  4371799  2968588  2892656  10290244   4019690  2635647  1853891  3429073  4241265
          524288    4096  2606865  3035388  2970116  3970432  4341641  2931046  3949886  10572287   4327807  2726690  2332543  3927102  4103789
          524288    8192  2114917  2665770  3076392  4152776  4350144  2987276  4010526    139843   4038418  2460878  1881731  3655280  4011902
          524288   16384  2195714  2765726  3755619  4338044  4341573  3089137  4144957   1351240   3341758  2646836  2723900  4655950  4810290

iozone test complete.
